schema,tabela,n_live_tup,row_count_real,tamanho_bytes,dominio,prioridade,camada,fonte_esperada,dag_responsavel,dbt_model,status_inicio
api_ans,api_alteracao_rede_hospitalar,0,0,32768,rede,P1,api,fonte ANS rede assistencial,dag_ingest_rede_assistencial,stg_rede_*,ZERADA
api_ans,api_beneficiario_informacao_consolidada,0,0,32768,beneficiario,P1,api,SIB beneficiários,dag_ingest_sib,stg_sib_*,ZERADA
api_ans,api_beneficiario_regiao_geografica,0,0,24576,beneficiario,P1,api,SIB beneficiários,dag_ingest_sib,stg_sib_*,ZERADA
api_ans,api_cnes_municipio,0,0,40960,cnes,P1,api,fonte CNES DataSUS,dag_ingest_cnes,stg_cnes_*,ZERADA
api_ans,api_cnes_rede_gap,0,0,32768,cnes,P1,api,fonte CNES DataSUS,dag_ingest_cnes,stg_cnes_*,ZERADA
api_ans,api_faixa_preco,0,0,24576,ntrp,P1,api,faixa preço,dag_ingest_precificacao_ntrp,stg_faixa_preco_*,ZERADA
api_ans,api_financeiro_operadora_mensal,0,0,24576,financeiro,P1,api,DIOPS + FIP,dag_ingest_diops/fip,stg_financeiro_*,ZERADA
api_ans,api_garantia_atendimento,0,0,24576,regulatorio,P2,api,garantia atendimento ANS,dag?,stg_garantia_*,ZERADA
api_ans,api_historico_plano,163567,163567,21594112,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_iap,0,0,24576,regulatorio,P2,api,IAP ANS,dag?,stg_iap_*,ZERADA
api_ans,api_market_share_mensal,59197,59197,15769600,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_ntrp_area_comercializacao,0,0,24576,ntrp,P1,api,NTRP ANS,dag_ingest_precificacao_ntrp,stg_ntrp_*,ZERADA
api_ans,api_ntrp_vcm_faixa_etaria,0,0,24576,ntrp,P1,api,NTRP ANS,dag_ingest_precificacao_ntrp,stg_ntrp_*,ZERADA
api_ans,api_operadora,1107,1107,335872,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_operadora_acreditada,0,0,16384,rede,P2,api,rede acreditada,varias,fat_acreditacao_*,ZERADA
api_ans,api_operadora_cancelada,0,0,24576,cadop,P2,api,CADOP histórico,dag_ingest_cadop,stg_cadop_*,ZERADA
api_ans,api_operadora_prestador_nao_hospitalar,0,0,32768,outros,P3,api,fonte_desconhecida,n/a,n/a,ZERADA
api_ans,api_oportunidade_municipio_mensal,646,646,188416,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_oportunidade_v2_municipio_mensal,646,646,270336,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_painel_precificacao,0,0,32768,ntrp,P1,api,painel precificação,dag_ingest_precificacao_ntrp,stg_painel_*,ZERADA
api_ans,api_penalidade_operadora,0,0,24576,outros,P3,api,fonte_desconhecida,n/a,n/a,ZERADA
api_ans,api_peona_sus,0,0,24576,regulatorio,P2,api,PEONA SUS,dag?,stg_peona_*,ZERADA
api_ans,api_pfa,0,0,24576,regulatorio,P2,api,PFA,dag?,stg_pfa_*,ZERADA
api_ans,api_plano_servico_opcional,0,0,24576,produto,P2,api,plano serviço opcional,dag?,stg_pso_*,ZERADA
api_ans,api_portabilidade_operadora_mensal,0,0,24576,portabilidade,P1,api,portabilidade ANS,dag_ingest_portabilidade,stg_portabilidade_*,ZERADA
api_ans,api_prata_cadop,1107,1107,319488,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_prata_cnes_municipio,0,0,32768,cnes,P1,api,fonte CNES DataSUS,dag_ingest_cnes,stg_cnes_*,ZERADA
api_ans,api_prata_cnes_rede_gap,0,0,32768,cnes,P1,api,fonte CNES DataSUS,dag_ingest_cnes,stg_cnes_*,ZERADA
api_ans,api_prata_diops,0,0,24576,financeiro,P1,api,DIOPS ANS,dag_ingest_diops,stg_diops_*,ZERADA
api_ans,api_prata_financeiro_periodo,0,0,8192,financeiro,P1,api,DIOPS + FIP,dag_ingest_diops/fip,stg_financeiro_*,ZERADA
api_ans,api_prata_fip,0,0,24576,financeiro,P1,api,FIP ANS,dag_ingest_fip,stg_fip_*,ZERADA
api_ans,api_prata_glosa,0,0,32768,glosa,P1,api,glosa ANS,dag_ingest_glosa,stg_glosa_*,ZERADA
api_ans,api_prata_idss,0,0,24576,regulatorio,P1,api,IDSS ANS anual,dag_anual_idss,stg_idss_*,ZERADA
api_ans,api_prata_igr,0,0,24576,outros,P3,api,fonte_desconhecida,n/a,n/a,ZERADA
api_ans,api_prata_municipio_metrica,59197,59197,7905280,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_prata_nip,0,0,24576,regulatorio,P1,api,NIP ANS,dag_ingest_nip,stg_nip_*,ZERADA
api_ans,api_prata_operadora_enriquecida,757,757,139264,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_prata_rede_assistencial,0,0,32768,rede,P1,api,fonte ANS rede assistencial,dag_ingest_rede_assistencial,stg_rede_*,ZERADA
api_ans,api_prata_sib_municipio,59892,59892,8781824,beneficiario,P1,api,SIB beneficiários,dag_ingest_sib,stg_sib_*,POPULADA
api_ans,api_prata_sib_operadora,803,803,196608,beneficiario,P1,api,SIB beneficiários,dag_ingest_sib,stg_sib_*,POPULADA
api_ans,api_prata_tiss_procedimento,0,0,40960,tiss,P0,api,fonte ANS TISS subfamílias,dag_ingest_tiss,stg/api/consumo_tiss_*,ZERADA
api_ans,api_prata_vda,0,0,24576,vda,P1,api,VDA ANS,dag_ingest_vda,stg_vda_*,ZERADA
api_ans,api_premium_cnes_estabelecimento_validado,0,0,40960,cnes,P1,api,fonte CNES DataSUS,dag_ingest_cnes,stg_cnes_*,ZERADA
api_ans,api_premium_contrato_validado,0,0,8192,premium,P2,api,validações premium,dbt+seed,api_premium_*,ZERADA
api_ans,api_premium_mdm_operadora,1107,1107,303104,premium,P2,api,validações premium,dbt+seed,api_premium_*,POPULADA
api_ans,api_premium_mdm_prestador,0,0,8192,premium,P2,api,validações premium,dbt+seed,api_premium_*,ZERADA
api_ans,api_premium_operadora_360_validado,757,757,344064,premium,P2,api,validações premium,dbt+seed,api_premium_*,POPULADA
api_ans,api_premium_quality_dataset,2,2,49152,premium,P2,api,validações premium,dbt+seed,api_premium_*,POPULADA
api_ans,api_premium_subfatura_validada,0,0,8192,premium,P2,api,validações premium,dbt+seed,api_premium_*,ZERADA
api_ans,api_premium_tiss_procedimento_tuss_validado,0,0,32768,tiss,P0,api,fonte ANS TISS subfamílias,dag_ingest_tiss,stg/api/consumo_tiss_*,ZERADA
api_ans,api_premium_tuss_procedimento,3500,3500,712704,premium,P2,api,validações premium,dbt+seed,api_premium_*,POPULADA
api_ans,api_prestador_acreditado,0,0,32768,rede,P2,api,rede acreditada,varias,fat_acreditacao_*,ZERADA
api_ans,api_produto_plano,163661,163661,46850048,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_produto_prestador_hospitalar,0,0,32768,rede,P2,api,produto-prestador hospitalar,dag?,stg_produto_prestador_*,ZERADA
api_ans,api_programa_qualificacao_institucional,0,0,24576,regulatorio,P2,api,PQI ANS,dag?,stg_pqi_*,ZERADA
api_ans,api_promoprev,0,0,24576,regulatorio,P2,api,PROMOPREV,dag?,stg_promoprev_*,ZERADA
api_ans,api_quadro_auxiliar_corresponsabilidade,1032,1032,327680,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_ranking_composto_mensal,757,757,368640,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_ranking_crescimento,757,757,139264,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_ranking_oportunidade,646,646,139264,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_ranking_score,757,757,139264,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_reajuste_agrupamento,0,0,24576,ntrp,P1,api,reajuste agrupamento,dag_ingest_precificacao_ntrp,stg_reajuste_*,ZERADA
api_ans,api_rede_assistencial,0,0,32768,rede,P1,api,fonte ANS rede assistencial,dag_ingest_rede_assistencial,stg_rede_*,ZERADA
api_ans,api_regime_especial_operadora,0,0,24576,regulatorio,P2,api,regime especial ANS,dag_ingest_regime_especial,stg_regime_*,ZERADA
api_ans,api_regulatorio_operadora_trimestral,0,0,24576,regulatorio,P1,api,agregado regulatório,varias,stg_regulatorio_*,ZERADA
api_ans,api_ressarcimento_beneficiario_abi,0,0,32768,ressarcimento,P1,api,ressarcimento SUS,dag_ingest_ressarcimento_sus,stg_ressarcimento_*,ZERADA
api_ans,api_ressarcimento_cobranca_arrecadacao,0,0,24576,ressarcimento,P1,api,ressarcimento SUS,dag_ingest_ressarcimento_sus,stg_ressarcimento_*,ZERADA
api_ans,api_ressarcimento_hc,0,0,24576,ressarcimento,P1,api,ressarcimento SUS,dag_ingest_ressarcimento_sus,stg_ressarcimento_*,ZERADA
api_ans,api_ressarcimento_indice_pagamento,0,0,24576,ressarcimento,P1,api,ressarcimento SUS,dag_ingest_ressarcimento_sus,stg_ressarcimento_*,ZERADA
api_ans,api_ressarcimento_sus_operadora_plano,0,0,24576,ressarcimento,P1,api,ressarcimento SUS,dag_ingest_ressarcimento_sus,stg_ressarcimento_*,ZERADA
api_ans,api_rn623_lista_trimestral,0,0,24576,regulatorio,P1,api,RN623 ANS trimestral,dag_ingest_rn623,stg_rn623_*,ZERADA
api_ans,api_rpc_operadora_mes,0,0,32768,regulatorio,P1,api,RPC ANS,dag_ingest_rpc?,stg_rpc_*,ZERADA
api_ans,api_score_operadora_mensal,757,757,270336,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_score_regulatorio_operadora_mensal,0,0,32768,regulatorio,P1,api,agregado regulatório,varias,stg_regulatorio_*,ZERADA
api_ans,api_score_v2_operadora_mensal,757,757,655360,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_score_v3_operadora_mensal,757,757,368640,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_sinistralidade_procedimento,0,0,24576,outros,P3,api,fonte_desconhecida,n/a,n/a,ZERADA
api_ans,api_sip_assistencial_operadora,0,0,32768,sip,P0,api,fonte ANS SIP delta,dag_ingest_sip_delta,stg_sip_*,ZERADA
api_ans,api_taxa_cobertura_plano,0,0,32768,beneficiario,P1,api,SIB cobertura,dag_ingest_beneficiarios_cobertura,stg_cobertura_*,ZERADA
api_ans,api_tiss_ambulatorial_operadora_mes,0,0,32768,tiss,P0,api,fonte ANS TISS subfamílias,dag_ingest_tiss,stg/api/consumo_tiss_*,ZERADA
api_ans,api_tiss_hospitalar_operadora_mes,0,0,32768,tiss,P0,api,fonte ANS TISS subfamílias,dag_ingest_tiss,stg/api/consumo_tiss_*,ZERADA
api_ans,api_tiss_operadora_trimestral,0,0,32768,tiss,P0,api,fonte ANS TISS subfamílias,dag_ingest_tiss,stg/api/consumo_tiss_*,ZERADA
api_ans,api_tiss_plano_mes,0,0,32768,tiss,P0,api,fonte ANS TISS subfamílias,dag_ingest_tiss,stg/api/consumo_tiss_*,ZERADA
api_ans,api_tuss_procedimento_vigente,64654,64654,14106624,outros,P3,api,fonte_desconhecida,n/a,n/a,POPULADA
api_ans,api_valor_comercial_medio_municipio,0,0,32768,ntrp,P2,api,valor comercial médio município,dbt,fat_vcm_*,ZERADA
