competencia,ano,mes
201501,2015,1
201502,2015,2
201503,2015,3
201504,2015,4
201505,2015,5
201506,2015,6
201507,2015,7
201508,2015,8
201509,2015,9
201510,2015,10
201511,2015,11
201512,2015,12
201601,2016,1
201602,2016,2
201603,2016,3
201604,2016,4
201605,2016,5
201606,2016,6
201607,2016,7
201608,2016,8
201609,2016,9
201610,2016,10
201611,2016,11
201612,2016,12
201701,2017,1
201702,2017,2
201703,2017,3
201704,2017,4
201705,2017,5
201706,2017,6
201707,2017,7
201708,2017,8
201709,2017,9
201710,2017,10
201711,2017,11
201712,2017,12
201801,2018,1
201802,2018,2
201803,2018,3
201804,2018,4
201805,2018,5
201806,2018,6
201807,2018,7
201808,2018,8
201809,2018,9
201810,2018,10
201811,2018,11
201812,2018,12
201901,2019,1
201902,2019,2
201903,2019,3
201904,2019,4
201905,2019,5
201906,2019,6
201907,2019,7
201908,2019,8
201909,2019,9
201910,2019,10
201911,2019,11
201912,2019,12
202001,2020,1
202002,2020,2
202003,2020,3
202004,2020,4
202005,2020,5
202006,2020,6
202007,2020,7
202008,2020,8
202009,2020,9
202010,2020,10
202011,2020,11
202012,2020,12
202101,2021,1
202102,2021,2
202103,2021,3
202104,2021,4
202105,2021,5
202106,2021,6
202107,2021,7
202108,2021,8
202109,2021,9
202110,2021,10
202111,2021,11
202112,2021,12
202201,2022,1
202202,2022,2
202203,2022,3
202204,2022,4
202205,2022,5
202206,2022,6
202207,2022,7
202208,2022,8
202209,2022,9
202210,2022,10
202211,2022,11
202212,2022,12
202301,2023,1
202302,2023,2
202303,2023,3
202304,2023,4
202305,2023,5
202306,2023,6
202307,2023,7
202308,2023,8
202309,2023,9
202310,2023,10
202311,2023,11
202312,2023,12
202401,2024,1
202402,2024,2
202403,2024,3
202404,2024,4
202405,2024,5
202406,2024,6
202407,2024,7
202408,2024,8
202409,2024,9
202410,2024,10
202411,2024,11
202412,2024,12
202501,2025,1
202502,2025,2
202503,2025,3
202504,2025,4
202505,2025,5
202506,2025,6
202507,2025,7
202508,2025,8
202509,2025,9
202510,2025,10
202511,2025,11
202512,2025,12
202601,2026,1
202602,2026,2
202603,2026,3
202604,2026,4
202605,2026,5
202606,2026,6
202607,2026,7
202608,2026,8
202609,2026,9
202610,2026,10
202611,2026,11
202612,2026,12
202701,2027,1
202702,2027,2
202703,2027,3
202704,2027,4
202705,2027,5
202706,2027,6
202707,2027,7
202708,2027,8
202709,2027,9
202710,2027,10
202711,2027,11
202712,2027,12
202801,2028,1
202802,2028,2
202803,2028,3
202804,2028,4
202805,2028,5
202806,2028,6
202807,2028,7
202808,2028,8
202809,2028,9
202810,2028,10
202811,2028,11
202812,2028,12
202901,2029,1
202902,2029,2
202903,2029,3
202904,2029,4
202905,2029,5
202906,2029,6
202907,2029,7
202908,2029,8
202909,2029,9
202910,2029,10
202911,2029,11
202912,2029,12
203001,2030,1
203002,2030,2
203003,2030,3
203004,2030,4
203005,2030,5
203006,2030,6
203007,2030,7
203008,2030,8
203009,2030,9
203010,2030,10
203011,2030,11
203012,2030,12
