codigo_tuss,descricao,segmento,obrigatorio_medico,obrigatorio_odonto,carencia_dias,vigencia_inicio,vigencia_fim
000001,CONSULTAS 0001,MEDICO,SIM,NAO,30,2024-01-01,
000002,EXAMES 0002,MEDICO,NAO,NAO,30,2024-01-01,
000003,TERAPIAS 0003,ODONTO,SIM,NAO,30,2024-01-01,
000004,CIRURGIAS 0004,MEDICO,NAO,NAO,180,2024-01-01,
000005,INTERNACOES 0005,MEDICO,SIM,SIM,30,2024-01-01,
000006,OBSTETRICIA 0006,ODONTO,NAO,NAO,30,2024-01-01,
000007,ODONTOLOGIA 0007,MEDICO,SIM,NAO,30,2024-01-01,
000008,CONSULTAS 0008,MEDICO,NAO,NAO,180,2024-01-01,
000009,EXAMES 0009,ODONTO,SIM,NAO,30,2024-01-01,
000010,TERAPIAS 0010,MEDICO,NAO,SIM,30,2024-01-01,
000011,CIRURGIAS 0011,MEDICO,SIM,NAO,30,2024-01-01,
000012,INTERNACOES 0012,ODONTO,NAO,NAO,180,2024-01-01,
000013,OBSTETRICIA 0013,MEDICO,SIM,NAO,30,2024-01-01,
000014,ODONTOLOGIA 0014,MEDICO,NAO,NAO,30,2024-01-01,
000015,CONSULTAS 0015,ODONTO,SIM,SIM,30,2024-01-01,
000016,EXAMES 0016,MEDICO,NAO,NAO,180,2024-01-01,
000017,TERAPIAS 0017,MEDICO,SIM,NAO,30,2024-01-01,
000018,CIRURGIAS 0018,ODONTO,NAO,NAO,30,2024-01-01,
000019,INTERNACOES 0019,MEDICO,SIM,NAO,30,2024-01-01,
000020,OBSTETRICIA 0020,MEDICO,NAO,SIM,180,2024-01-01,
000021,ODONTOLOGIA 0021,ODONTO,SIM,NAO,30,2024-01-01,
000022,CONSULTAS 0022,MEDICO,NAO,NAO,30,2024-01-01,
000023,EXAMES 0023,MEDICO,SIM,NAO,30,2024-01-01,
000024,TERAPIAS 0024,ODONTO,NAO,NAO,180,2024-01-01,
000025,CIRURGIAS 0025,MEDICO,SIM,SIM,30,2024-01-01,
000026,INTERNACOES 0026,MEDICO,NAO,NAO,30,2024-01-01,
000027,OBSTETRICIA 0027,ODONTO,SIM,NAO,30,2024-01-01,
000028,ODONTOLOGIA 0028,MEDICO,NAO,NAO,180,2024-01-01,
000029,CONSULTAS 0029,MEDICO,SIM,NAO,30,2024-01-01,
000030,EXAMES 0030,ODONTO,NAO,SIM,30,2024-01-01,
000031,TERAPIAS 0031,MEDICO,SIM,NAO,30,2024-01-01,
000032,CIRURGIAS 0032,MEDICO,NAO,NAO,180,2024-01-01,
000033,INTERNACOES 0033,ODONTO,SIM,NAO,30,2024-01-01,
000034,OBSTETRICIA 0034,MEDICO,NAO,NAO,30,2024-01-01,
000035,ODONTOLOGIA 0035,MEDICO,SIM,SIM,30,2024-01-01,
000036,CONSULTAS 0036,ODONTO,NAO,NAO,180,2024-01-01,
000037,EXAMES 0037,MEDICO,SIM,NAO,30,2024-01-01,
000038,TERAPIAS 0038,MEDICO,NAO,NAO,30,2024-01-01,
000039,CIRURGIAS 0039,ODONTO,SIM,NAO,30,2024-01-01,
000040,INTERNACOES 0040,MEDICO,NAO,SIM,180,2024-01-01,
000041,OBSTETRICIA 0041,MEDICO,SIM,NAO,30,2024-01-01,
000042,ODONTOLOGIA 0042,ODONTO,NAO,NAO,30,2024-01-01,
000043,CONSULTAS 0043,MEDICO,SIM,NAO,30,2024-01-01,
000044,EXAMES 0044,MEDICO,NAO,NAO,180,2024-01-01,
000045,TERAPIAS 0045,ODONTO,SIM,SIM,30,2024-01-01,
000046,CIRURGIAS 0046,MEDICO,NAO,NAO,30,2024-01-01,
000047,INTERNACOES 0047,MEDICO,SIM,NAO,30,2024-01-01,
000048,OBSTETRICIA 0048,ODONTO,NAO,NAO,180,2024-01-01,
000049,ODONTOLOGIA 0049,MEDICO,SIM,NAO,30,2024-01-01,
000050,CONSULTAS 0050,MEDICO,NAO,SIM,30,2024-01-01,
000051,EXAMES 0051,ODONTO,SIM,NAO,30,2024-01-01,
000052,TERAPIAS 0052,MEDICO,NAO,NAO,180,2024-01-01,
000053,CIRURGIAS 0053,MEDICO,SIM,NAO,30,2024-01-01,
000054,INTERNACOES 0054,ODONTO,NAO,NAO,30,2024-01-01,
000055,OBSTETRICIA 0055,MEDICO,SIM,SIM,30,2024-01-01,
000056,ODONTOLOGIA 0056,MEDICO,NAO,NAO,180,2024-01-01,
000057,CONSULTAS 0057,ODONTO,SIM,NAO,30,2024-01-01,
000058,EXAMES 0058,MEDICO,NAO,NAO,30,2024-01-01,
000059,TERAPIAS 0059,MEDICO,SIM,NAO,30,2024-01-01,
000060,CIRURGIAS 0060,ODONTO,NAO,SIM,180,2024-01-01,
000061,INTERNACOES 0061,MEDICO,SIM,NAO,30,2024-01-01,
000062,OBSTETRICIA 0062,MEDICO,NAO,NAO,30,2024-01-01,
000063,ODONTOLOGIA 0063,ODONTO,SIM,NAO,30,2024-01-01,
000064,CONSULTAS 0064,MEDICO,NAO,NAO,180,2024-01-01,
000065,EXAMES 0065,MEDICO,SIM,SIM,30,2024-01-01,
000066,TERAPIAS 0066,ODONTO,NAO,NAO,30,2024-01-01,
000067,CIRURGIAS 0067,MEDICO,SIM,NAO,30,2024-01-01,
000068,INTERNACOES 0068,MEDICO,NAO,NAO,180,2024-01-01,
000069,OBSTETRICIA 0069,ODONTO,SIM,NAO,30,2024-01-01,
000070,ODONTOLOGIA 0070,MEDICO,NAO,SIM,30,2024-01-01,
000071,CONSULTAS 0071,MEDICO,SIM,NAO,30,2024-01-01,
000072,EXAMES 0072,ODONTO,NAO,NAO,180,2024-01-01,
000073,TERAPIAS 0073,MEDICO,SIM,NAO,30,2024-01-01,
000074,CIRURGIAS 0074,MEDICO,NAO,NAO,30,2024-01-01,
000075,INTERNACOES 0075,ODONTO,SIM,SIM,30,2024-01-01,
000076,OBSTETRICIA 0076,MEDICO,NAO,NAO,180,2024-01-01,
000077,ODONTOLOGIA 0077,MEDICO,SIM,NAO,30,2024-01-01,
000078,CONSULTAS 0078,ODONTO,NAO,NAO,30,2024-01-01,
000079,EXAMES 0079,MEDICO,SIM,NAO,30,2024-01-01,
000080,TERAPIAS 0080,MEDICO,NAO,SIM,180,2024-01-01,
000081,CIRURGIAS 0081,ODONTO,SIM,NAO,30,2024-01-01,
000082,INTERNACOES 0082,MEDICO,NAO,NAO,30,2024-01-01,
000083,OBSTETRICIA 0083,MEDICO,SIM,NAO,30,2024-01-01,
000084,ODONTOLOGIA 0084,ODONTO,NAO,NAO,180,2024-01-01,
000085,CONSULTAS 0085,MEDICO,SIM,SIM,30,2024-01-01,
000086,EXAMES 0086,MEDICO,NAO,NAO,30,2024-01-01,
000087,TERAPIAS 0087,ODONTO,SIM,NAO,30,2024-01-01,
000088,CIRURGIAS 0088,MEDICO,NAO,NAO,180,2024-01-01,
000089,INTERNACOES 0089,MEDICO,SIM,NAO,30,2024-01-01,
000090,OBSTETRICIA 0090,ODONTO,NAO,SIM,30,2024-01-01,
000091,ODONTOLOGIA 0091,MEDICO,SIM,NAO,30,2024-01-01,
000092,CONSULTAS 0092,MEDICO,NAO,NAO,180,2024-01-01,
000093,EXAMES 0093,ODONTO,SIM,NAO,30,2024-01-01,
000094,TERAPIAS 0094,MEDICO,NAO,NAO,30,2024-01-01,
000095,CIRURGIAS 0095,MEDICO,SIM,SIM,30,2024-01-01,
000096,INTERNACOES 0096,ODONTO,NAO,NAO,180,2024-01-01,
000097,OBSTETRICIA 0097,MEDICO,SIM,NAO,30,2024-01-01,
000098,ODONTOLOGIA 0098,MEDICO,NAO,NAO,30,2024-01-01,
000099,CONSULTAS 0099,ODONTO,SIM,NAO,30,2024-01-01,
000100,EXAMES 0100,MEDICO,NAO,SIM,180,2024-01-01,
000101,TERAPIAS 0101,MEDICO,SIM,NAO,30,2024-01-01,
000102,CIRURGIAS 0102,ODONTO,NAO,NAO,30,2024-01-01,
000103,INTERNACOES 0103,MEDICO,SIM,NAO,30,2024-01-01,
000104,OBSTETRICIA 0104,MEDICO,NAO,NAO,180,2024-01-01,
000105,ODONTOLOGIA 0105,ODONTO,SIM,SIM,30,2024-01-01,
000106,CONSULTAS 0106,MEDICO,NAO,NAO,30,2024-01-01,
000107,EXAMES 0107,MEDICO,SIM,NAO,30,2024-01-01,
