codigo_tuss,descricao,grupo,subgrupo,capitulo,vigencia_inicio,vigencia_fim
000001,CONSULTAS 0001,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000002,EXAMES 0002,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000003,TERAPIAS 0003,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000004,CIRURGIAS 0004,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000005,INTERNACOES 0005,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000006,OBSTETRICIA 0006,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000007,ODONTOLOGIA 0007,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000008,CONSULTAS 0008,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000009,EXAMES 0009,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000010,TERAPIAS 0010,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000011,CIRURGIAS 0011,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000012,INTERNACOES 0012,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000013,OBSTETRICIA 0013,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000014,ODONTOLOGIA 0014,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000015,CONSULTAS 0015,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000016,EXAMES 0016,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000017,TERAPIAS 0017,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000018,CIRURGIAS 0018,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000019,INTERNACOES 0019,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000020,OBSTETRICIA 0020,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000021,ODONTOLOGIA 0021,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000022,CONSULTAS 0022,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000023,EXAMES 0023,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
